[ 2022-05-04 10:07:47,672 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pictest" )
[ 2022-05-04 10:07:47,683 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 10:07:47,695 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-04 10:07:48,635 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-04 10:13:14,758 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-04 10:13:14,836 ] Disconnected from gameserver
[ 2022-05-04 10:13:14,896 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://127.0.0.1/login.php") ) due to too many retries.
[ 2022-05-05 08:54:56,977 ] Asset loading complete
[ 2022-05-05 08:55:02,632 ] News query failed: "Unrecognized event news."
[ 2022-05-05 08:55:04,747 ] BattlEye: "Initialized (v1.246)"
[ 2022-05-05 08:55:04,747 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-05-05 08:55:04,747 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-05-05 08:55:04,821 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-05 08:55:04,845 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 08:55:04,867 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 08:55:05,852 ] News query failed: "Unrecognized event news."
[ 2022-05-05 08:55:44,007 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-05 08:55:44,092 ] Disconnected from gameserver
[ 2022-05-05 11:19:23,082 ] Asset loading complete
[ 2022-05-05 11:19:39,709 ] News query failed: "Unrecognized event news."
[ 2022-05-05 11:19:41,886 ] BattlEye: "Initialized (v1.246)"
[ 2022-05-05 11:19:41,886 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-05-05 11:19:41,886 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-05-05 11:19:41,949 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Pictest" )
[ 2022-05-05 11:19:41,973 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 11:19:41,995 ] Connected to gameserver  "tcp://127.0.0.1:7172" "Canary"
[ 2022-05-05 11:19:42,979 ] News query failed: "Unrecognized event news."
[ 2022-05-05 11:21:05,745 ] Connection to gameserver  "tcp://127.0.0.1:7172" "Canary"  was disconnected ( "The remote host closed the connection" )
[ 2022-05-05 11:21:05,818 ] Disconnected from gameserver
[ 2022-05-05 11:21:06,179 ] News query failed: "Unrecognized event news."
[ 2022-05-05 11:24:56,179 ] Asset loading complete
[ 2022-05-05 11:25:01,813 ] News query failed: "Unrecognized event news."
[ 2022-05-05 11:25:03,198 ] BattlEye: "Initialized (v1.246)"
[ 2022-05-05 11:25:03,198 ] BattlEye: "Restarting client is necessary, service isn't running properly"
[ 2022-05-05 11:25:03,198 ] BattlEye: "Restarting client is necessary, update required"
[ 2022-05-05 11:25:03,272 ] Request connection to gameserver  "tcp://127.0.0.1:7172"  (unprotected:  "tcp://127.0.0.1:7172" )  requested (Charakter "Alkurius" )
[ 2022-05-05 11:25:03,293 ] Request connection to gameserver  "tcp://127.0.0.1:7172" "Canary"
